respuesta,emocion,pregunta
"De una manera exaltada y con mucha alegría , además de ello que sentía como si no fuera real dado a qué fue una sorpresa muy inesperada",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"En mi cumpleaños, fue una sorpresa y no me la esperaba, me sentí emocionado",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
No recuerdo algo relacionado a ello,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Wouu me encanto brinque de la emoción jaja,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Sin saber como reaccionar, felicidad, emocion",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Reaccioné atónito, nunca nadie me regala nada",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"En mi cumpleaños me hicieron una fiesta y eso me emocionó mucho, me hizo sentir muy bien",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Muy feliz,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Me hizo sentir acompañado ya que la familia siempre busca lo mejor para ti,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Con asombro y algo de vergüenza,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me sentí muy afortunada, reaccione de manera positiva porque me di cuenta lo mucho que me apreciaba está persona, y lo afortunada que era al tenerla en mi vida, aunque actualmente ya no se encuentra conmigo",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Se me salió una lágrima y me sentí muy apreciado por esa persona.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Emocionante y emotivo, se siente el cariño",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Me hizo sentir muy feliz y sorprendido ya que no me esperaba que ellos hicieran algo asi,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Incomodidad, agradeciendo e intentar escapar de la situación lo antes posible",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Experimente mucha emoción e intriga porque era un regalo el cual me habían creado mucha expectativa,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Sorprendido, asimilándolo todo y posteriormente feliz",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Sorprendido casi no recibo esos tratos,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Sorprendida porque no cualquier persona hace algo que a ti te guste o que sepa que es lo que no te gustaría y que si que te hagan.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me gusta conocer gente nueva, desde la secundaria hasta mi actual carrera he comido amigos que lamentablemente ya no hablamos como antes, que me han hecho sentir muy bien, conocerlos fue lo mejor que me ha pasado, ya que cada momento compartido es inolvidable.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Recuerdo cuando sin ningún motivo mi novia me regaló un libro o álbum de fotografía que ella hizo manualmente, fue muy similar al de la película de Up, además me regaló mis golosinas preferidas y fue una tarde muy feliz, fue tan impactante porque en esa semana estaba pasando por mucho estrés y ella cambió el reto de la semana, me sentí feliz y más enamorado que nunca.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Les agradecí y más tarde intenté devolver el detalle,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Pues creo que sin duda sería la vez que mis hermanas y mi familia me hicieron mi baby shower fue muy bonito porque ya no tenía idea de pues de que me iban a hacer ese evento me sentí muy bien porque vi a toda mi familia reunida y pues sí no sé si el embarazo o qué fue pero hasta lloré el día de mi baby shower porque desde entonces veo que mi familia ama mucho a mi hija y eso me hace sentir muy bien.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Tranquilidad y emoción,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cuando me ayudo economicamente en un momento que enserio lo necesitaba no lo esperaba de esa persona pero me conforto muchisimo,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me sentí sorprendido y a la vez muy bien, como sentirse querido",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cuando mi familia y mi novia organizo una fiesta sorpresa para mi cumpleaños.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Una vez mis amigos organizaron una fiesta sorpresa en mi cumpleaños, yo no lo esperaba asi que estaba muy sorprendida y agradecí a todos ese bonito gesto que tuvieron conmigo.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando cumplí 18 años, el novio que tenía en ese momento de mi vida llegó con serenata y 118 rosas a mi casa.Yo ni siquiera me lo imaginaba! Fue una gran sorpresa, ni siquiera me pasaba por la cabeza que fuera a hacer algo así, estuvo lindísimo. Además él había pedido ayuda de mi familia para organizar las cosas, lo cual lo volvió aún más lindo.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Pues no recuerdo que alguien hiciera algo especial por mi.Bueno una vez unas amigas me metieron un regalo de cumpleaños en mi mochila, generalmente siempre sobre pienso y es difícil que no pase algo que no había pensado antes pero ese día no le esperaba que un regalo ya que casi no me regalan cosas, me sentí muy feliz y impresionado ese día. Es un bonito recuerdo",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando mi novia me hizo una fiesta sorpresa, no me lo esperaba porque había tenido un mal día",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Agradecer que me tengan en consideración, para mí es una forma muy linda de demostrar cariño.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Por una parte me provoca demasiado esa sensación de ternura y agradecimiento pero llega el punto donde me parece incómodo porque no me acostumbraron a recibir esas cosas y siento que le debo demasiado a ese alguien o no me siento merecedora.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Muy bien, sentí una felicidad desbordada, no dejaba de sonreír",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Con una felicidad inconmensurable, difícil de ocultar.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Primero estuve confundida y de cierta manera no me la creía, después simplemente no pude ocultar mi emoción y felicidad.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Que se preocupara por mi en todo momento realmente me hizo sentir bien y reaccione con mucha felicidad,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Demasiado, me sentí muy feliz y hasta llore de felicidad.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"cuando me paso eso, no sabia ni que decirle, muchas emociones y sentires llegaron, estaba nerviosa por el detallito que me obsequio.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Fue en mi cumpleaños, no me gustan las fiestas grandes ni lugares ruidosos con mucha gente, así que mi abuelo me sorprendió con un viaje a puebla(antes de venir a estudiar), que era una ciudad que quería visitar mucho. 

Cuando mi abuelo me dio la noticia casi salto de emoción y me apresure a alistarme para ir allá, fue muy divertido, me la pase muy bien en ese viaje",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
….,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Pues lo que siempre algo especial o inesperado son mis padres, ellos siempre me hacen sentir feliz",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"En una ocasión mis amigas me prepararon una picnic sorpresa por mi cumpleaños, organizaron todo en un parque y fue muy lindo el tiempo que dedicaron para hacer que ese día fuera divertido, pudimos platicar, reír y cantar. Mi reacción hacia ellas fue de gratitud y cariño, así como de sorpresa y felicidad por pasar tiempo con ellas, ya que casi no tenemos tiempo para reunirnos.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Recuerdo una vez que una exnovia me lleno de papelitos la puerta de mi casa, fue algo inesperado porque yo no sabia nada de la sorpresa que me tenia, era un dia normal como cualquier otro y no estabamos celebrando algo en especial. Yo creo que eso lo hizo mas especial aun, ese detalle, porque fue algo que no tenia un significado o una fecha o algo que tu te esperas que va a pasar por algun motivo. En cada uno de los papelitos tenia escrito cosas que tenian un significado para nosotros dos, no simplemente eran cosas triviales y pues cuando le pregunte que porque lo habia hecho. me contesto que porque yo era muy especial para ella y no necesitaba una fecha en especifico o importante, para decirme lo mucho que significaba para ella. uff eso si me hizo sentir muy especial.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me sorprendio mucho y me hizo sentir importante y feliz, me hizo sentir que habia una persona a la que de verdad le importaba",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Me regalaron un gato y me sentí muy feliz porque quería una mascota desde hace mucho tiempo,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Genial,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
de manera agradecida,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Mi madre, siempre hace cosas por mi para hacerme feliz, no importa si es algo importante de una u otra manera siempre me mantiene motivado",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Agradecida pero carente de afecto ,serena y respetuosa",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Reaccione con un abrazo muy fuerte , le agradecí inmensa mente y me sentí muy feliz",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cuando mi amiga me cuidó,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Agradecí el gesto, y estuve contenta el resto del día.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
con alegria y ternura,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Reaccioné de la mejor manera posible, tratando de ser agradecida con esa persona y correspondiéndole de la mejor manera posible. Ya que, una persona especial en mi vida, hizo lo posible por ir a visitarme a mi nueva Ciudad a pesar de las circunstancias y dificultades.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Con una mezcla de emoción, sorpresa y felicidad por el detalle que alguien podría llegar hacer hacia mi persona.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"La vez en la que me hicieron una fiesta sorpresa por primera vez en mi vida, fue muy bonito ya que en ese momento estaba pasando por una depresión, mis amigos y familia lo notaban pero mi cumpleaños estaba cerca. Fue un momento muy emotivo, me di cuenta de lo afortunada que era de tener a personas a las que realmente les importaba",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me sentí nerviosa, y no creía lo que estaba pasando, sonreía mucho",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Un día, cuando estaba pasando por un momento difícil, un amigo me sorprendió con una carta motivadora y una playlist personalizada con mis canciones favoritas. Me emocionó mucho porque no esperaba algo así. Le agradecí sinceramente y desde entonces valoro más los pequeños gestos de las personas.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Esta experiencia fue muy bonita, me sentí muy feliz, contenta, con mucha alegría, incluso este tipo de acciones que te hacen feliz, provocan que olvides las cosas malas que pasaron en el día.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Fue inesperado, la primera vez quedé sorprendido y agradecido",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me hizo sentir especial y amado, sin embargo al mismo tiempo me sentí avergonzado y tímido",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando me regalaron unas flores, fue la primera y única vez que alguien me dio ese detalle, no lo podía creer pero se sintió muy padre.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Mi economía no era buena y a veces no me alcanzaba para comer lo que hizo mi amigo era pedir comida con su hermana le pagaba y me compartía, reaccione de manera agradecida, yo la verdad llore conmovida, le estimo.ucho y ese recuerdo está en mi corazón, me hacer ayudar a otros cuando lo necesitan.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"En una ocasión un amigo me invitó a salir para mi cumpleaños días antes de la fecha. En ocasiones anteriores habíamos salido al cine por ver películas qué nos gustaban, así que ese día lo tomé como algo común de hacer, sin embargo, llegando al cine y comprar los boletos, él me dijo que pagaría lo mío junto con un combo de palomitas y antes de entrar a la sala me dijo ""Feliz cumpleaños"". Fue de sorpresa ya que el día exacto de mi cumpleaños no íbamos a poder salir, así que la salida fue anticipada considerando ese hecho. Además, fue la primera vez que salí a festejar mi cumpleaños con un amigo.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
En mi cumpleaños número 20 mis amigos me hicieron una fiesta sorpresa y me dio mucha alegría el ver cuánto se habían esforzado para que yo pasara un lindo cumpleaños,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Un amigo me regaló algo de lo que le había hablado tiempo antes. Me hizo muy feliz saber que me prestó atención y recordó lo que me gustaba.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando me regalaron cosas de mi deporte favorito por primera vez, porque les recordaba a mí, me hizo sentir calidez, porque muestra que realmente me conoce:)",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Sorprendido y conmovido,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"No sé realmente reaccionar a las cosas, siento que me siento falso pero realmente intenté demostrar que enserio me sentía satisfecho",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Una persona me apoyo en un momento duro en mi vida, me ofreció todo su apoyo",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cuando me hicieron una fiesta sorpresa. Era algo que no me esperaba y me alegro el dia,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Me senti alegre y con ganas de seguir adelante,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Primero tuve mucha confusión y después fue de mucha alegría,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Feliz,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando me dicen que no dudaban de mi, me sentí muy feliz y con mucho cariño",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Hubo alguien en su momento que me hizo de desayunar, fue especial y de ayuda ya que no llevaba nada esa ocasión",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cuando alguien me felicitó por hacer mi proyecto y no lo esperaba,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cuando mis amigos de la universidad celebraron mi cumpleaños. Fue algo muy inesperado y especial,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me dio mucho sentimiento, me sentí importante, alguien más notaba mi existencia. No soy muy buena reflejando mis emociones físicamente, por lo que quizá no salte y llore de felicidad, pero es un recuerdo que logra sacarme una sonrisa cada vez que pienso en ello y no puedo evitar volverme a sentir en ese espacio de felicidad",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Lo que hizo un amigo por mi,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Siempre han sido momentos gratificantes jaja como momentos únicos en los que te sientes especial, lo puedo expresar como ganar una estrella de Mario bros, esa estrella conseguida es lo que muchas veces es lindo de la vida",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Feliz, amado, querido y escuchado.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Fue algo inesperado, que me hizo sentir muy considerada y valorada, y mi reacción fue una sonrisa y un agradecimiento genuino",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Sorprendidas y muy agradecida,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me tomaron en cuenta para participar en una serie animada. Participó como animador 3D. Me dio mucha confianza para seguir participando en este tipo de proyectos que actualmente siguen en curso, y cada vez mi trabajo brilla más.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
La sensación fue rara por que no esperaba algo así una incomodidad de felicidad,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando mi mamá me regaló algo que realmente quería, reaccioné con mucha felicidad.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Sorprendido,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me sentí agradecido y feliz, tener tal influencia e impacto en una persona para realizar un detalle por mi",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Con emoción y alegría,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Recuerdo la vez que me vine por primera vez a Puebla solo y toda mi familia me fue a ver y me llevó detalles entre ellos comida que ellos prepararon o compraron y regalos y palabras de aliento que me motivaron a seguirle echando ganas, me sentí muy feliz muy contento y me hizo darme cuenta que hay gente que me está apoyando, y quiere que cumple mis objetivos y metas",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Me alegré mucho,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando me mi mamá me compra algo que quiero pero no sé lo pedí, solo lo mencioné , eso me hace sentir feliz porque me demuestra que si me escucha.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Recuerdo que durante el primer mes de relación con mi novio, falleció mi perrito, en cuánto le comenté a mi novio sobre lo ocurrido en ese momento llegó hasta mi casa para consolarme, podrá parecer cualquier cosa pero para mí fue un gesto tan bonito, y estoy segura que ninguna otra persona lo hubiera hecho, porque solo se trataba de una mascota.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Alegría, entusiasmo, mayor dinamismo corporal como ademanes",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cómo si no lo mereciera,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
El recibir ayuda de mis hermanos y hermanas me hizo sentir respaldado.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"En mi cumpleaños me dieron flores, apesar de no desear festejar el día, ese gesto me alegro",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Al estar en ese momento primero no sabia como regular mis emociones y llore todo el día al recordar ese momento,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"En un cumpleaños mi hermana me regaló gustó lo que quería, de manera que me sentí muy feliz porque ella me conocía muy bien y se preocupó porque disfrutará mi día.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Muy feliz,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Feliz, pero sobre todo sorprendida, porque me hizo darme cuenta de que soy querida, vista y conocida",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Un regalo, me encantó, me sentí querida",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
No se,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Mi novia preparó una cita/picnic que fue sorpresa para mí. 
En ese momento me sentí muy feliz jamás en mi vida me habían preparado algo parecido, además de que fue el primer picnic en mi vida y fue bastante lindo.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Con felicidad y agradecimiento,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Sorprendida, y mi reacción  fue de agradeciminto por el gesto.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Cuando mis amigos me organizaron una fiesta sorpresa por mi cumpleaños. Me hicieron una de mis comidas favoritas y me dieron un regalo. Recuerdo que igual uno de ellos me dio una carta y aún la conservo porque es muy especial para mi.  
Me puse muy feliz y conforme fui creciendo y pasó el tiempo, me di cuenta de que siempre he estado rodeada de buenas amistades, lo cual agradezco mucho.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Un arquitecto me dio la confianza para trabajar con el, me sentí muy bien y hasta la fecha seguimos trabajando en equipo.",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Cuando mejunte con mi nueva pareja y me asecto  con mis hijos y q ahora los kiere como Asus hijos propios y eso meiso sentir muy vien,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
No se,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
He estado en momentos difíciles en dónde mi familia me a brindado su apoyo incondicional y me han hecho sentir una persona muy especial en sus vidas.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
Recibir el apoyo de mi esposo e hijos para lograr titularme fue algo que me hizo sentir inmensamente feliz y conmovida por preocuparse porque yo logrará algo tan deseado.,Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Me hizo sentir apenada por qué a veces pensaba que no merecía eso, pero me hacía sentir muy especial",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
"Una persona me mandó flores desde otro estado porque fue una fecha especial. Me hizo sentir como si fuera parte de la vida de esa persona y que no estaba sola. Estaba muy feliz, nostálgica y melancólica",Felicidad,2. Describe una ocasión en la que alguien hizo algo especial o inesperado por ti y te hizo sentir bien. ¿Cómo reaccionaste? 
