respuesta,emocion,pregunta,tokens,lemmas,texto_final
Perdí el control de lo que me rodeaba y me sentí impotente,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['perdí', 'control', 'rodeaba', 'sentí', 'impotente']","['perder', 'control', 'rodear', 'sentir', 'impotente']",perder control rodear sentir impotente
Te sientes mal y triste sin ganas de seguir,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['sientes', 'mal', 'triste', 'sin', 'ganas', 'seguir']","['sient', 'mal', 'triste', 'sin', 'gana', 'seguir']",sient mal triste sin gana seguir
Inservible,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,['inservible'],['inservible'],inservible
"Si, las cosas no salían como planeaba y se me iba el tiempo, me dio un ataque de ansiedad",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['cosas', 'salían', 'planeaba', 'iba', 'tiempo', 'dio', 'ataque', 'ansiedad']","['cosa', 'salir', 'planear', 'ir', 'tiempo', 'dar', 'ataque', 'ansiedad']",cosa salir planear ir tiempo dar ataque ansiedad
"No tenía ganas de nada, solo estaba ahí viendo a un punto fijo, alejándome de las personas, me sentía fatal",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['ganas', 'nada', 'solo', 'ahí', 'viendo', 'punto', 'fijo', 'alejándome', 'personas', 'sentía', 'fatal']","['gana', 'nada', 'solo', 'ahí', 'ver', 'punto', 'fijo', 'alejándomar', 'persona', 'sentir', 'fatal']",gana nada solo ahí ver punto fijo alejándomar persona sentir fatal
Muy estancada y molesta porque se que tengo las habilidades pero no podía,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['muy', 'estancada', 'molesta', 'porque', 'habilidades', 'podía']","['mucho', 'estancado', 'molesto', 'porque', 'habilidadser', 'poder']",mucho estancado molesto porque habilidadser poder
"Al final del día llore cuando estaba solo en casa y me aislé un poco para reflexionar lo que había pasado, después me disculpe con personas a las cuales yo sentí que ofendí o que incluso lastime por la frustración de que haya sido un mal día",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['final', 'día', 'llore', 'cuando', 'solo', 'casa', 'aislé', 'poco', 'reflexionar', 'pasado', 'después', 'disculpe', 'personas', 'cuales', 'sentí', 'ofendí', 'incluso', 'lastime', 'frustración', 'sido', 'mal', 'día']","['final', 'día', 'llorar', 'cuando', 'solo', 'casa', 'aislé', 'poco', 'reflexionar', 'pasado', 'después', 'disculpar', 'persona', 'cual', 'sentir', 'ofendí', 'incluso', 'lastime', 'frustración', 'ser', 'mal', 'día']",final día llorar cuando solo casa aislé poco reflexionar pasado después disculpar persona cual sentir ofendí incluso lastime frustración ser mal día
"Fue un día que en el trabajo me estaban llamando la atención por todo, en la escuela no comprendía nada. Empezaba a creer que no servía para nada.
Pero al final solo deje que el día pasara, cuando llegó la hora de descansar solo medite con lo que había pasado y dejé que me tranquilizara. 

Aún me sigue sucediendo pero trato de resguardar esos pensamientos para que no me afecten. Al final solo quiero estar tranquilo.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['día', 'trabajo', 'llamando', 'atención', 'escuela', 'comprendía', 'nada', 'empezaba', 'creer', 'servía', 'nada', 'final', 'solo', 'deje', 'día', 'pasara', 'cuando', 'llegó', 'hora', 'descansar', 'solo', 'medite', 'pasado', 'dejé', 'tranquilizara', 'aún', 'sigue', 'sucediendo', 'trato', 'resguardar', 'pensamientos', 'afecten', 'final', 'solo', 'quiero', 'tranquilo']","['día', 'trabajo', 'llamar', 'atención', 'escuela', 'comprender', 'nada', 'empezar', 'creer', 'servir', 'nada', 'final', 'solo', 'dejar', 'día', 'pasar', 'cuando', 'llegar', 'hora', 'descansar', 'solo', 'medite', 'pasado', 'dejar', 'tranquilizara', 'aún', 'seguir', 'suceder', 'trato', 'resguardar', 'pensamiento', 'afectar', 'final', 'solo', 'querer', 'tranquilo']",día trabajo llamar atención escuela comprender nada empezar creer servir nada final solo dejar día pasar cuando llegar hora descansar solo medite pasado dejar tranquilizara aún seguir suceder trato resguardar pensamiento afectar final solo querer tranquilo
No lo recuerdo bien,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['recuerdo', 'bien']","['recordar', 'bien']",recordar bien
Busque vías de placer para no sentir dolor.,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['busque', 'vías', 'placer', 'sentir', 'dolor']","['buscar', 'vía', 'placer', 'sentir', 'dolor']",buscar vía placer sentir dolor
Frustración,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,['frustración'],['frustración'],frustración
"Frustrado, como si todo el mundo estuviera en mi contra.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['frustrado', 'mundo']","['frustrado', 'mundo']",frustrado mundo
"Recuerdo que un dia no logré alcanzar mi autobús de camino a mi rancho, ya que había una protesta que hizo que perdiera mucho tiempo. Pague un uber para intentar llegar a tiempo pero no lo logré, me sentí derrotado y agotado por la situación.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['recuerdo', 'dia', 'logré', 'alcanzar', 'autobús', 'camino', 'rancho', 'protesta', 'hizo', 'perdiera', 'mucho', 'tiempo', 'pague', 'uber', 'intentar', 'llegar', 'tiempo', 'logré', 'sentí', 'derrotado', 'agotado', 'situación']","['recordar', 'dia', 'logré', 'alcanzar', 'autobús', 'camino', 'rancho', 'protesta', 'hacer', 'perder', 'mucho', 'tiempo', 'pagar', 'uber', 'intentar', 'llegar', 'tiempo', 'logré', 'sentir', 'derrotado', 'agotado', 'situación']",recordar dia logré alcanzar autobús camino rancho protesta hacer perder mucho tiempo pagar uber intentar llegar tiempo logré sentir derrotado agotado situación
Me sentí inservible y sentí que si no sintiera tanto podría poner más atención a lo que hago,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['sentí', 'inservible', 'sentí', 'sintiera', 'podría', 'poner', 'atención', 'hago']","['sentir', 'inservible', 'sentir', 'sintiero', 'poder', 'poner', 'atención', 'hacer']",sentir inservible sentir sintiero poder poner atención hacer
"La vez que reprobé una materia, después reprobé un examen, y cosas que otro día habrían sido insignificantes, pero la suma de todo me tiró, y más porque eran cosas que en verdad quería que salieran bien. Me tiró algunos días, hasta tocar fondo. Y desde ahí hacia arriba",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['vez', 'reprobé', 'materia', 'después', 'reprobé', 'examen', 'cosas', 'día', 'sido', 'insignificantes', 'suma', 'tiró', 'porque', 'cosas', 'verdad', 'quería', 'salieran', 'bien', 'tiró', 'días', 'tocar', 'fondo', 'ahí', 'hacia', 'arriba']","['vez', 'reprober', 'materia', 'después', 'reprobé', 'examen', 'cosa', 'día', 'ser', 'insignificante', 'sumo', 'tirar', 'porque', 'cosa', 'verdad', 'querer', 'salir', 'bien', 'tirar', 'día', 'tocar', 'fondo', 'ahí', 'hacia', 'arriba']",vez reprober materia después reprobé examen cosa día ser insignificante sumo tirar porque cosa verdad querer salir bien tirar día tocar fondo ahí hacia arriba
"Un día que sentía que todo me salía mal fue en segundo semestre cuando nos dejaron diversos proyectos y ninguno me salía. Mis códigos marcaban errores y mis presentaciones o trabajos sentía que no estaban completos, por ende pensé que iba a llegar a reprobar. Por ello, pedí ayuda a algunos de mis amigos y con más calma fui realizando cada uno de ellos; mis amigos me ayudaron a ver los errores al igual que sobrellevar la situación.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['día', 'sentía', 'salía', 'mal', 'segundo', 'semestre', 'cuando', 'nos', 'dejaron', 'diversos', 'proyectos', 'ninguno', 'salía', 'códigos', 'marcaban', 'errores', 'presentaciones', 'trabajos', 'sentía', 'completos', 'ende', 'pensé', 'iba', 'llegar', 'reprobar', 'ello', 'pedí', 'ayuda', 'amigos', 'calma', 'realizando', 'cada', 'amigos', 'ayudaron', 'ver', 'errores', 'igual', 'sobrellevar', 'situación']","['día', 'sentir', 'salir', 'mal', 'segundo', 'semestre', 'cuando', 'yo', 'dejar', 'diverso', 'proyecto', 'ninguno', 'salir', 'código', 'marcar', 'error', 'presentación', 'trabajo', 'sentir', 'completo', 'ende', 'pensar', 'ir', 'llegar', 'reprobar', 'él', 'pedir', 'ayuda', 'amigos', 'calmo', 'realizar', 'cada', 'amigo', 'ayudar', 'ver', 'error', 'igual', 'sobrellevar', 'situación']",día sentir salir mal segundo semestre cuando yo dejar diverso proyecto ninguno salir código marcar error presentación trabajo sentir completo ende pensar ir llegar reprobar él pedir ayuda amigos calmo realizar cada amigo ayudar ver error igual sobrellevar situación
que tenía que esforzarme y trabajar aún más,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['esforzarme', 'trabajar', 'aún']","['esforzar yo', 'trabajar', 'aún']",esforzar yo trabajar aún
"Fue un día de noviembre, cerca del cumpleaños de quien en ese momento era mi pareja, yo en aquel tiempo era mucho de planear las cosas para que todo saliera lo mejor posible y ese día no iba a ser una excepción pues había un plan qué buscaba ver a esa persona feliz, al inicio todo transcurriria bien, sin embargo no todo puede ser color de rosa y pasado un tiempo y por factores externos empezó a salir todo mal, por más que buscaba soluciones esta persona también generaba más conflictos, al final se me recriminó todo lo malo a mi cuando no tuve que ver y me hizo sentir muy mal",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['día', 'noviembre', 'cerca', 'cumpleaños', 'momento', 'pareja', 'aquel', 'tiempo', 'mucho', 'planear', 'cosas', 'saliera', 'mejor', 'posible', 'día', 'iba', 'ser', 'excepción', 'pues', 'plan', 'buscaba', 'ver', 'persona', 'feliz', 'inicio', 'transcurriria', 'bien', 'sin', 'embargo', 'puede', 'ser', 'color', 'rosa', 'pasado', 'tiempo', 'factores', 'externos', 'empezó', 'salir', 'mal', 'buscaba', 'soluciones', 'persona', 'generaba', 'conflictos', 'final', 'recriminó', 'malo', 'cuando', 'ver', 'hizo', 'sentir', 'muy', 'mal']","['día', 'noviembre', 'cerca', 'cumpleaño', 'momento', 'parejo', 'aquel', 'tiempo', 'mucho', 'planear', 'cosa', 'salir', 'mejor', 'posible', 'día', 'ir', 'ser', 'excepción', 'pues', 'plan', 'buscar', 'ver', 'persona', 'feliz', 'inicio', 'transcurririo', 'bien', 'sin', 'embargo', 'poder', 'ser', 'color', 'rosa', 'pasado', 'tiempo', 'factor', 'externo', 'empezar', 'salir', 'mal', 'buscar', 'solución', 'persona', 'generar', 'conflicto', 'final', 'recriminar', 'malo', 'cuando', 'ver', 'hacer', 'sentir', 'mucho', 'mal']",día noviembre cerca cumpleaño momento parejo aquel tiempo mucho planear cosa salir mejor posible día ir ser excepción pues plan buscar ver persona feliz inicio transcurririo bien sin embargo poder ser color rosa pasado tiempo factor externo empezar salir mal buscar solución persona generar conflicto final recriminar malo cuando ver hacer sentir mucho mal
"Malos horarios, malas comidas, mal dia de trabajo. Me sentia frustrado porque todo lo habia planeado correctamente y nada salio como esperaba, me dio mucha tristeza por todo lo que paso en ese dia y no podia controlar nada.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['malos', 'horarios', 'malas', 'comidas', 'mal', 'dia', 'trabajo', 'sentia', 'frustrado', 'porque', 'habia', 'planeado', 'correctamente', 'nada', 'salio', 'esperaba', 'dio', 'mucha', 'tristeza', 'paso', 'dia', 'podia', 'controlar', 'nada']","['malo', 'horario', 'mala', 'comida', 'mal', 'dia', 'trabajo', 'sentia', 'frustrado', 'porque', 'habia', 'planeado', 'correctamente', 'nada', 'salio', 'esperar', 'dar', 'mucho', 'tristeza', 'paso', 'diar', 'podia', 'controlar', 'nada']",malo horario mala comida mal dia trabajo sentia frustrado porque habia planeado correctamente nada salio esperar dar mucho tristeza paso diar podia controlar nada
"Generalmente trato de olvidar esos días, solo aprender del momento y seguir adelante.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['generalmente', 'trato', 'olvidar', 'días', 'solo', 'aprender', 'momento', 'seguir', 'adelante']","['generalmente', 'tratar', 'olvidar', 'día', 'solo', 'aprender', 'momento', 'seguir', 'adelante']",generalmente tratar olvidar día solo aprender momento seguir adelante
No tan mal como uno pensara,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['tan', 'mal', 'pensara']","['tanto', 'mal', 'pensara']",tanto mal pensara
"Me sentí frustrada y estresada, la mayor parte del día estuve así y aunque trato de sacar lo mejor posible de cada situación aún así te queda un sabor agridulce del día",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['sentí', 'frustrada', 'estresada', 'mayor', 'parte', 'día', 'así', 'aunque', 'trato', 'sacar', 'mejor', 'posible', 'cada', 'situación', 'aún', 'así', 'queda', 'sabor', 'agridulce', 'día']","['sentir', 'frustrado', 'estresado', 'mayor', 'parte', 'día', 'así', 'aunque', 'tratar', 'sacar', 'mejor', 'posible', 'cada', 'situación', 'aún', 'así', 'quedar', 'sabor', 'agridulce', 'día']",sentir frustrado estresado mayor parte día así aunque tratar sacar mejor posible cada situación aún así quedar sabor agridulce día
Solo trato de olvidar lo malo,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['solo', 'trato', 'olvidar', 'malo']","['solo', 'trato', 'olvidar', 'malo']",solo trato olvidar malo
"Tener días malos o buenos es algo normal, los días en los que todo parece ir mal, trato de  no pensarlo mucho y tratar de que no me afecte, solo pienso que mañana será otro día y las cosas van a estar mejor.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['tener', 'días', 'malos', 'buenos', 'normal', 'días', 'parece', 'mal', 'trato', 'pensarlo', 'mucho', 'tratar', 'afecte', 'solo', 'pienso', 'mañana', 'día', 'cosas', 'van', 'mejor']","['tener', 'día', 'malo', 'buen', 'normal', 'día', 'parecer', 'mal', 'tratar', 'pensar él', 'mucho', 'tratar', 'afectar', 'solo', 'pensar', 'mañana', 'día', 'cosa', 'ir', 'mejor']",tener día malo buen normal día parecer mal tratar pensar él mucho tratar afectar solo pensar mañana día cosa ir mejor
"No recuerdo un día en específico que me haya sentido así, pero si me ha pasado, y por la misma sensación de que todo te sale mal, como que te mentalizas y las cosas no terminan de salirte bien",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['recuerdo', 'día', 'específico', 'así', 'pasado', 'misma', 'sensación', 'sale', 'mal', 'mentalizas', 'cosas', 'terminan', 'salirte', 'bien']","['recordar', 'día', 'específico', 'así', 'pasado', 'mismo', 'sensación', 'salir', 'mal', 'mentaliza', 'cosa', 'terminar', 'salirte', 'bien']",recordar día específico así pasado mismo sensación salir mal mentaliza cosa terminar salirte bien
"Fue justamente en este semestre,ya que había pedido permiso temporal porque el trabajo me absorbia mucho tiempo y no era algo que podia dejarlo ,el punto es que cuando regrese ala universidad me sentía muy rara ,excluida de muchas cosas ,sentía que no sabía nada ,como si todo se me hubiera borrado ,cada materia que tomaba y los profes me hacían sentir mal, que iba a ser muy difícil,saliendo de la universidad colapse al llegar a casa ,llorando porque me sentía muy mal porque sentía que no sabía nada ,que no iba a poder ,que tal vez no era para mí el regresar a estudiar o al menos esa carrera (claro estas emociones e ideas surgieron con los meses ) siento que todos avanzan menos yo ,que se les hace fácil y a mí no ,que los profes solo avanzan y avanzan y creen que ya lo sabemos todo pero es ahí la frustración enorme que siento porque no siempre es como ellos piensan ,cuando intento esforzarme por estudiar ,e intentar hacer algún trabajo de la escuela ,termino mal porque me siento inútil ,que no puede y no sabra hacerlo y termino dejándolo y haciendo pues lo que pueda,y es ahí donde me pongo mal por todo y me cuestiono mucho en si debo seguir con esto .
.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['justamente', 'semestreya', 'pedido', 'permiso', 'temporal', 'porque', 'trabajo', 'absorbia', 'mucho', 'tiempo', 'podia', 'dejarlo', 'punto', 'cuando', 'regrese', 'ala', 'universidad', 'sentía', 'muy', 'rara', 'excluida', 'muchas', 'cosas', 'sentía', 'sabía', 'nada', 'borrado', 'cada', 'materia', 'tomaba', 'profes', 'hacían', 'sentir', 'mal', 'iba', 'ser', 'muy', 'difícilsaliendo', 'universidad', 'colapse', 'llegar', 'casa', 'llorando', 'porque', 'sentía', 'muy', 'mal', 'porque', 'sentía', 'sabía', 'nada', 'iba', 'poder', 'tal', 'vez', 'regresar', 'estudiar', 'menos', 'carrera', 'claro', 'emociones', 'ideas', 'surgieron', 'meses', 'siento', 'avanzan', 'menos', 'hace', 'fácil', 'profes', 'solo', 'avanzan', 'avanzan', 'creen', 'sabemos', 'ahí', 'frustración', 'enorme', 'siento', 'porque', 'siempre', 'piensan', 'cuando', 'intento', 'esforzarme', 'estudiar', 'intentar', 'hacer', 'algún', 'trabajo', 'escuela', 'termino', 'mal', 'porque', 'siento', 'inútil', 'puede', 'sabra', 'hacerlo', 'termino', 'dejándolo', 'haciendo', 'pues', 'pueday', 'ahí', 'pongo', 'mal', 'cuestiono', 'mucho', 'debo', 'seguir']","['justamente', 'semestreya', 'pedido', 'permiso', 'temporal', 'porque', 'trabajar', 'absorbiar', 'mucho', 'tiempo', 'podiar', 'dejar él', 'punto', 'cuando', 'regresar', 'ala', 'universidad', 'sentir', 'mucho', 'raro', 'excluir', 'mucho', 'cosa', 'sentir', 'saber', 'nada', 'borrado', 'cada', 'materia', 'tomar', 'prof', 'hacer', 'sentir', 'mal', 'ir', 'ser', 'mucho', 'difícilsaleir', 'universidad', 'colapse', 'llegar', 'casa', 'llorar', 'porque', 'sentir', 'mucho', 'mal', 'porque', 'sentir', 'saber', 'nada', 'ir', 'poder', 'tal', 'vez', 'regresar', 'estudiar', 'menos', 'carrera', 'claro', 'emoción', 'idea', 'surgir', 'mes', 'siento', 'avanzar', 'menos', 'hacer', 'fácil', 'prof', 'solo', 'avanzar', 'avanzar', 'creer', 'saber', 'ahí', 'frustración', 'enorme', 'siento', 'porque', 'siempre', 'pensar', 'cuando', 'intento', 'esforzar yo', 'estudiar', 'intentar', 'hacer', 'alguno', 'trabajo', 'escuela', 'termino', 'mal', 'porque', 'sentir', 'inútil', 'poder', 'sabra', 'hacer él', 'termino', 'dejar él', 'hacer', 'pues', 'pueday', 'ahí', 'poner', 'mal', 'cuestiono', 'mucho', 'deber', 'seguir']",justamente semestreya pedido permiso temporal porque trabajar absorbiar mucho tiempo podiar dejar él punto cuando regresar ala universidad sentir mucho raro excluir mucho cosa sentir saber nada borrado cada materia tomar prof hacer sentir mal ir ser mucho difícilsaleir universidad colapse llegar casa llorar porque sentir mucho mal porque sentir saber nada ir poder tal vez regresar estudiar menos carrera claro emoción idea surgir mes siento avanzar menos hacer fácil prof solo avanzar avanzar creer saber ahí frustración enorme siento porque siempre pensar cuando intento esforzar yo estudiar intentar hacer alguno trabajo escuela termino mal porque sentir inútil poder sabra hacer él termino dejar él hacer pues pueday ahí poner mal cuestiono mucho deber seguir
"sip, en prepa llevaba una racha de malas experiencias pero siempre traté de aguantar y salir adelante, y así fue, obviamente me sentía mal pero pues era sentirme mal para siempre o hacer algo al respecto para que no me siguiera afectando",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['sip', 'prepa', 'llevaba', 'racha', 'malas', 'experiencias', 'siempre', 'traté', 'aguantar', 'salir', 'adelante', 'así', 'obviamente', 'sentía', 'mal', 'pues', 'sentirme', 'mal', 'siempre', 'hacer', 'respecto', 'siguiera', 'afectando']","['sip', 'prepa', 'llevar', 'racha', 'mala', 'experiencia', 'siempre', 'traté', 'aguantar', 'salir', 'adelante', 'así', 'obviamente', 'sentir', 'mal', 'pues', 'sentir yo', 'mal', 'siempre', 'hacer', 'respecto', 'siguiero', 'afectar']",sip prepa llevar racha mala experiencia siempre traté aguantar salir adelante así obviamente sentir mal pues sentir yo mal siempre hacer respecto siguiero afectar
Me generó más pensamientos negativos de los que ya tenía sobre lo que salió mal durante el día,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['generó', 'pensamientos', 'negativos', 'salió', 'mal', 'día']","['generar', 'pensamiento', 'negativo', 'salir', 'mal', 'día']",generar pensamiento negativo salir mal día
Pues había un día en qué todo estaba en mi contra por más cosas buenas que hiciera parecía que lo empeoraba por lo que me deprimía por no saber en qué estaba mal.,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['pues', 'día', 'cosas', 'buenas', 'hiciera', 'parecía', 'empeoraba', 'deprimía', 'saber', 'mal']","['pues', 'día', 'cosa', 'buena', 'hacer', 'parecer', 'empeorar', 'deprimía', 'saber', 'mal']",pues día cosa buena hacer parecer empeorar deprimía saber mal
"Frustrado, pensamientos negativos aparecen en esos días.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['frustrado', 'pensamientos', 'negativos', 'aparecen', 'días']","['frustrado', 'pensamiento', 'negativo', 'aparecer', 'día']",frustrado pensamiento negativo aparecer día
No tengo ninguna experiencia así,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['ninguna', 'experiencia', 'así']","['ninguno', 'experiencia', 'así']",ninguno experiencia así
"Dormí mal, desperté tarde, cambiaron la hora de l entrega de un trabajo no lo pude entregar, para la revisión presencial tuve cosas mal e incompletas, no lo podía resolver, reprobé, tuve una plática triste y tuve que despedirme de una persona, tuve problemas con el transporte, llegue muy tarde a casa sin comer nada en todo el día. De cierta forma me disocie, pero estaba triste, resignada, cansada, enojada, frustrada, arrepentida.",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['dormí', 'mal', 'desperté', 'tarde', 'cambiaron', 'hora', 'entrega', 'trabajo', 'pude', 'entregar', 'revisión', 'presencial', 'cosas', 'mal', 'incompletas', 'podía', 'resolver', 'reprobé', 'plática', 'triste', 'despedirme', 'persona', 'problemas', 'transporte', 'llegue', 'muy', 'tarde', 'casa', 'sin', 'comer', 'nada', 'día', 'cierta', 'forma', 'disocie', 'triste', 'resignada', 'cansada', 'enojada', 'frustrada', 'arrepentida']","['dormir', 'mal', 'desperté', 'tarde', 'cambiar', 'hora', 'entrega', 'trabajo', 'poder', 'entregar', 'revisión', 'presencial', 'cosa', 'mal', 'incompleto', 'poder', 'resolver', 'reprobé', 'plático', 'triste', 'despedirme', 'persona', 'problema', 'transporte', 'llegar', 'mucho', 'tarde', 'casa', 'sin', 'comer', 'nada', 'día', 'cierto', 'forma', 'disocie', 'triste', 'resignado', 'cansado', 'enojado', 'frustrado', 'arrepentido']",dormir mal desperté tarde cambiar hora entrega trabajo poder entregar revisión presencial cosa mal incompleto poder resolver reprobé plático triste despedirme persona problema transporte llegar mucho tarde casa sin comer nada día cierto forma disocie triste resignado cansado enojado frustrado arrepentido
"Las cosas que estaba haciendo en ese momento me resultaban muy estresantes, pensaba que mis desiciones no habían sido las correctas, y que tal vez si hubiera seguido los consejos de otra personas no estaría pasando por eso, me sentía muy mal y todo lo que pasaba a mi alrededor me resultaba frustrante y estresante",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['cosas', 'haciendo', 'momento', 'resultaban', 'muy', 'estresantes', 'pensaba', 'desiciones', 'sido', 'correctas', 'tal', 'vez', 'seguido', 'consejos', 'personas', 'pasando', 'sentía', 'muy', 'mal', 'pasaba', 'alrededor', 'resultaba', 'frustrante', 'estresante']","['cosa', 'hacer', 'momento', 'resultar', 'mucho', 'estresant', 'pensar', 'desición', 'ser', 'correctar', 'tal', 'vez', 'seguir', 'consejo', 'persona', 'pasar', 'sentir', 'mucho', 'mal', 'pasar', 'alrededor', 'resultar', 'frustrante', 'estresante']",cosa hacer momento resultar mucho estresant pensar desición ser correctar tal vez seguir consejo persona pasar sentir mucho mal pasar alrededor resultar frustrante estresante
Me estrese mucho y tenía muchas ganas de llorar,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['estrese', 'mucho', 'muchas', 'ganas', 'llorar']","['estrese', 'mucho', 'mucho', 'gana', 'llorar']",estrese mucho mucho gana llorar
fue frustrante,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,['frustrante'],['frustrante'],frustrante
Mantuve la calma y simplemente seguí adelante,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['mantuve', 'calma', 'simplemente', 'seguí', 'adelante']","['mantener', 'calma', 'simplemente', 'seguí', 'adelante']",mantener calma simplemente seguí adelante
"Perdi muchas cosas en un mismo dia, me senti muy frustada",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['perdi', 'muchas', 'cosas', 'mismo', 'dia', 'senti', 'muy', 'frustada']","['perdar', 'mucho', 'cosa', 'mismo', 'dia', 'senti', 'mucho', 'frustado']",perdar mucho cosa mismo dia senti mucho frustado
"Pues frustrado, decepcionado incluso mal, ya que son cosas que pasan y pues te afectan, pero aprendes de ello",Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['pues', 'frustrado', 'decepcionado', 'incluso', 'mal', 'cosas', 'pasan', 'pues', 'afectan', 'aprendes', 'ello']","['pues', 'frustrado', 'decepcionado', 'incluso', 'mal', 'cosa', 'pasar', 'pues', 'afectar', 'aprend', 'él']",pues frustrado decepcionado incluso mal cosa pasar pues afectar aprend él
Claramente mal pero pensando con la mente calmada busque soluciones.,Tristeza,4. Recuerda un día en el que sentiste que todo te salía mal. ¿Qué sucedió y cómo te sentiste al respecto? ,"['claramente', 'mal', 'pensando', 'mente', 'calmada', 'busque', 'soluciones']","['claramente', 'mal', 'pensar', 'mente', 'calmado', 'buscar', 'solución']",claramente mal pensar mente calmado buscar solución
